Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
351480905000013;8;1;128192;128192;0;2;24;45;34;21;3;1;1;0;11;
351480905000014;8;0;251709;251709;0;2;30;57;55;20;6;4;3;1;5;
351480905000015;8;0;27152;27152;0;1;17;14;6;1;0;0;0;0;4;
351480905000016;8;0;14336;14336;0;0;3;10;4;2;0;1;0;0;0;
351480905000017;8;0;12940;12940;0;1;4;7;3;2;0;0;0;0;2;
351480910000001;1;0;129811;129811;0;1;17;33;39;19;4;3;0;0;1;
351480910000002;8;0;56430;56430;0;3;7;25;21;7;0;0;0;0;1;
351480910000003;8;0;132246;132246;0;4;27;55;60;5;0;3;0;0;8;
351480910000006;8;0;39577;39577;0;3;13;19;12;4;0;0;0;0;4;
351480915000001;1;0;322486;322486;0;0;14;42;84;49;12;5;0;1;7;
351480915000002;8;0;112801;112801;0;0;23;56;27;10;2;1;1;0;1;
351480915000003;5;0;80452;80452;0;8;21;26;30;11;0;1;0;0;1;
351480915000004;8;0;48465;48465;0;12;20;20;12;6;0;0;1;0;24;
351480915000005;8;0;174067;174067;0;20;32;60;72;10;1;0;0;0;12;
351480915000006;8;0;44383;44383;0;5;15;19;14;5;0;0;0;0;4;
351480915000007;8;0;2656;2656;0;3;0;0;3;0;0;0;0;0;0;
351480915000011;8;0;123972;123972;0;7;33;54;44;8;1;3;0;0;8;
351480915000012;8;0;57754;57754;0;9;15;24;23;4;0;0;0;0;15;
351490805000001;1;0;659327;659327;0;0;3;15;41;87;29;25;11;2;3;
351490805000002;1;0;378534;378534;0;2;7;29;80;57;12;12;0;1;26;
351490805000003;1;0;600329;600329;0;3;5;27;125;105;33;8;4;0;19;
351490805000004;1;1;534102;533602;500;2;3;33;99;107;21;12;2;0;8;
351490805000005;1;0;639237;639237;0;0;2;29;58;66;30;18;7;3;44;
351490805000006;1;0;467104;467104;0;2;4;44;104;88;12;8;2;0;1;
351490805000007;1;0;447126;447126;0;0;4;47;119;77;12;1;0;0;11;
351490805000008;1;3;382263;379693;2570;0;2;44;102;83;6;1;0;0;4;
351490805000009;1;0;237809;237809;0;0;1;6;24;38;15;7;1;1;2;
351490805000010;1;1;378744;377954;790;5;10;70;113;48;7;3;0;0;12;
351490805000011;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
351490805000012;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
351490805000013;3;0;25315;25315;0;0;2;2;11;4;1;0;0;0;0;
351490805000014;3;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
351490805000015;8;0;206230;206230;0;0;1;2;5;5;4;0;0;0;0;
351490805000016;8;0;145558;145558;0;1;3;28;29;19;3;3;1;0;10;
351490805000017;8;0;149145;149145;0;0;2;22;36;25;5;3;0;0;2;
351490805000018;8;0;363886;363886;0;1;25;61;103;53;6;6;1;0;29;
351490805000019;8;0;93429;93429;0;0;2;18;31;18;1;1;0;0;16;
351490805000020;8;0;67663;67663;0;2;9;28;18;8;0;0;0;0;7;
351490805000022;1;0;299766;299766;0;0;7;24;62;52;15;2;1;0;18;
351490805000023;1;0;455513;455513;0;1;5;26;108;87;13;7;4;0;3;
351490805000026;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
351490805000027;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
351490805000029;1;0;104319;104319;0;6;7;19;24;21;1;0;0;0;10;
351490810000001;1;0;588273;588273;0;1;6;42;115;105;31;6;1;0;2;
351490810000002;1;1;445086;444505;581;2;2;25;97;76;13;6;1;1;6;
351490810000003;8;0;316926;316926;0;0;7;23;70;47;8;6;2;0;3;
351490810000004;1;0;11160;11160;0;0;0;0;3;2;0;0;0;0;0;
351490810000005;1;0;121776;121776;0;0;2;8;22;20;2;1;0;0;2;
351492405000001;1;0;436285;436285;0;0;3;15;95;84;17;12;1;0;4;
351492405000002;1;0;771347;771347;0;0;1;17;148;147;30;10;7;1;0;
351492405000003;3;0;161384;161384;0;0;1;10;40;33;3;1;0;0;0;
351492405000004;8;0;139112;139112;0;0;4;8;33;34;4;0;1;0;0;
351492405000005;1;0;412650;412650;0;0;5;16;90;79;26;6;1;0;2;
351492405000006;2;0;8610;8610;0;0;0;0;2;3;0;0;0;0;0;
351495705000001;1;0;682308;682308;0;0;2;19;86;136;35;21;4;1;5;
351495705000002;1;0;686338;686338;0;1;8;40;117;171;33;5;5;0;0;
351495705000003;8;1;286335;285680;655;0;4;16;29;42;12;3;3;2;2;
351500405000001;1;2;63930;63930;0;1;4;10;12;8;2;1;1;0;10;
351500405000002;1;2;118907;117387;1520;1;9;24;34;18;4;2;0;0;7;
351500405000003;1;3;149950;147400;2550;0;1;3;13;26;7;8;1;0;0;
351500405000004;1;0;150864;150864;0;0;3;9;15;17;9;1;2;1;3;
351500405000005;1;0;25800;25800;0;0;0;0;2;6;0;0;1;0;0;
351500405000006;1;0;95560;95560;0;0;0;3;1;3;1;1;1;1;2;
351500405000008;1;0;737868;737868;0;0;4;36;118;155;27;14;4;1;17;
351500405000009;1;0;366188;366188;0;0;9;35;54;57;23;5;2;0;26;
351500405000010;1;0;141730;141730;0;1;4;6;29;22;7;3;0;0;9;
351500405000011;1;0;249727;249727;0;0;4;19;17;35;12;7;5;0;0;
351500405000012;1;0;246668;246668;0;0;2;8;32;22;18;4;3;1;3;
351500405000013;1;0;254045;254045;0;1;4;10;29;40;16;9;2;0;2;
351500405000014;1;0;15738;15738;0;1;4;3;7;1;0;0;0;0;5;
351500405000015;1;0;270212;270212;0;2;8;27;66;40;9;5;1;1;26;
351500405000016;1;0;787506;787506;0;0;5;18;85;106;55;26;15;0;8;
351500405000017;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
351500405000018;1;0;9032;9032;0;0;1;2;1;1;1;0;0;0;0;
351500405000019;1;0;1052034;1052034;0;1;4;18;68;113;57;43;14;4;6;
351500405000020;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
351500405000021;1;0;227052;227052;0;0;2;21;47;35;5;5;2;0;5;
351500405000022;1;0;599990;599990;0;0;8;24;83;108;27;14;4;0;5;
351500405000023;1;0;882850;882850;0;2;1;25;54;71;26;24;16;11;4;
351500405000024;1;1;551903;548403;3500;1;19;82;155;86;11;7;1;0;52;
351500405000025;1;0;206205;206205;0;0;7;18;27;23;4;6;3;1;5;
351500405000026;1;0;23744;23744;0;0;2;6;9;4;0;0;0;0;0;
351500405000027;1;0;87054;87054;0;8;26;35;28;7;0;0;0;0;9;
351500405000028;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
351500405000030;1;0;368479;368479;0;11;52;99;134;51;5;2;0;0;18;
351500405000031;1;0;308496;308496;0;7;13;42;93;62;4;0;2;0;7;
351500405000032;1;0;529846;529846;0;1;5;55;198;47;7;0;0;1;13;
351500405000033;1;0;205526;205526;0;2;9;28;52;36;8;0;0;0;5;
351500405000034;1;0;362997;362997;0;2;7;23;84;49;15;6;2;1;14;
351500405000035;1;0;17780;17780;0;0;0;1;3;5;0;0;0;0;0;
351500405000036;1;0;393619;393619;0;1;5;19;50;78;14;10;2;0;13;
351500405000037;1;2;702589;700089;2500;1;1;19;66;126;28;17;11;1;5;
351500405000038;1;0;692727;692727;0;1;7;46;96;121;37;26;5;0;8;
351500405000039;1;0;224968;224968;0;0;3;4;16;18;3;8;6;2;1;
351500405000040;1;0;275922;275922;0;1;2;4;16;15;9;10;7;1;2;
351500405000041;1;0;374945;374945;0;1;1;13;27;36;22;14;9;1;5;
351500405000042;1;0;2200616;2200616;0;0;1;2;9;12;16;35;74;39;42;
351500405000043;1;0;10597;10597;0;0;0;0;3;1;0;1;0;0;0;
351500405000044;1;0;388013;388013;0;2;11;49;89;74;19;4;0;0;33;
351500405000045;1;0;230837;230837;0;4;26;51;60;39;4;1;0;0;18;
351500405000046;1;0;609980;609980;0;2;16;39;129;116;27;7;3;0;3;
351500405000047;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
351500405000048;1;0;541892;541892;0;3;23;71;125;101;18;2;0;0;7;
351500405000049;1;0;318257;318257;0;1;5;46;78;45;9;3;1;0;10;
351500405000050;1;0;271119;271119;0;1;7;38;65;53;6;5;1;1;41;
351500405000051;1;0;249574;249574;0;1;9;26;75;28;6;4;2;0;2;
351500405000052;1;1;567011;565981;1030;3;5;36;115;125;31;9;3;0;7;
351500405000053;1;0;359101;359101;0;1;7;24;62;68;15;8;1;0;13;
